"filename", "language", "Python", "CSS", "JavaScript", "HTML", "XML", "Database", "JSON", "comment", "blank", "total"
"c:\Website\Real site\Trading Web\templates\svg\contact\wechat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\templates\svg\contact\whatsapp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Website\Real site\Trading Web\theme\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\theme\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Website\Real site\Trading Web\theme\static\css\dist\styles.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Website\Real site\Trading Web\theme\static_src\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 1613, 0, 1, 1614
"c:\Website\Real site\Trading Web\theme\static_src\package.json", "JSON", 0, 0, 0, 0, 0, 0, 29, 0, 1, 30
"c:\Website\Real site\Trading Web\theme\static_src\postcss.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Website\Real site\Trading Web\theme\static_src\src\styles.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 4, 8, 31
"c:\Website\Real site\Trading Web\theme\static_src\tailwind.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 43, 7, 72
"c:\Website\Real site\Trading Web\theme\templates\base.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Website\Real site\Trading Web\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\utils\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\utils\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Website\Real site\Trading Web\utils\migrations\0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Website\Real site\Trading Web\utils\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\utils\models.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Website\Real site\Trading Web\utils\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\utils\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"Total", "-", 2144, 52, 54, 2691, 26, 1420, 1642, 634, 942, 9605
